strain,date,country,region,url,author,accession
AMA2,2/19/2016,Brazil,South America,,?,MK216687
AMA62,1/25/2016,Brazil,South America,,?,MK216726
AMA88,3/28/2017,Brazil,South America,,?,MK216743
AMA89,3/28/2017,Brazil,South America,,?,MK216741
AMA47,2/2/2016,Brazil,South America,,?,MK216716
AMA80,3/22/2017,Brazil,South America,,?,MK216737
AMA65,1/30/2016,Brazil,South America,,?,MK216727
AMA19,4/8/2016,Brazil,South America,,?,MK216696
AMA55,1/26/2016,Brazil,South America,,?,MK216725
AMA67,1/5/2016,Brazil,South America,,?,MK216730
BR/AM/16800005,1/8/2016,Brazil,South America,,Souza et al,KY631492
AMA45,1/8/2016,Brazil,South America,,?,MK216713
BR/Sinop/H355/2015,12/9/2015,Brazil,South America,,Bronzoni et al,MH513598
Brazil/2016/ZBRX106,3/7/2016,Brazil,South America,,Faria et al A,KY559020
SSABR1,7/1/2015,Brazil,South America,,Giovanetti et al (https://www.ncbi.nlm.nih.gov/pubmed/27071531),KU707826
Z1106033,10/2/2015,Suriname,South America,,Enfissi et al A (https://www.ncbi.nlm.nih.gov/pubmed/26775124),KU312312
BRA/2016/FC_6864,4/12/2016,Brazil,South America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY014297
BRA/2016/FC_6863,4/12/2016,Brazil,South America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785450
CPV/2015/CV487,11/27/2015,Cape Verde,Africa,,?,MK241416
CPV/2016/CV907u,6/4/2016,Cape Verde,Africa,,?,MK241417
CPV/2015/CV448c,12/3/2015,Cape Verde,Africa,,?,MK241415
V16288,2/1/2016,Brazil,South America,,Strottmann et al,MF073357
BR_SJRP61,4/5/2016,Brazil,South America,,Bittar et al,KY441402
BR_SJRP1840,1/11/2016,Brazil,South America,,Bittar et al,KY441403
BR/NHP_17_18/2017,3/3/2017,Brazil,South America,,Terzian et al (https://www.ncbi.nlm.nih.gov/pubmed/30375482),MG770185
BR/NHP_17_17/2017,3/3/2017,Brazil,South America,,Terzian et al (https://www.ncbi.nlm.nih.gov/pubmed/30375482),MG770184
BR/NHP_17_05/2017,1/26/2017,Brazil,South America,,Terzian et al (https://www.ncbi.nlm.nih.gov/pubmed/30375482),MG770183
BR/NHP_17_19/2017,3/3/2017,Brazil,South America,,Terzian et al (https://www.ncbi.nlm.nih.gov/pubmed/30375482),MG770186
800/16,7/25/2016,Brazil,South America,,?,MT483911
USVI/11/2016,3/22/2016,Usvi,North America,,Black et al A,VI11
GZ01,2/14/2016,Venezuela,South America,,Deng et al,KU820898
R114916,6/6/2016,Dominican Republic,North America,,Lanciotti et al A,KX766028
GZ02/2016,2/25/2016,Venezuela,South America,,Li et al B,KX056898
ZG_01,2/29/2016,China,China,,Huang et al,KY379148
GDZ16021,2/26/2016,China,China,,Sun et al,MF167360
Z16019,2/26/2016,Venezuela,South America,,Wu et al C,KU955590
SL1602,1/22/2016,Suriname,South America,,van Boheemen et al (https://www.ncbi.nlm.nih.gov/pubmed/28539654),KY348640
V17271,2015-12-01 (2015-12-01 - 2015-12-28),French Guiana,South America,,Enfissi et al B,KU758877
NL00013,2/11/2016,Suriname,South America,,Stalin Raj et al,KU937936
USVI/4/2016,10/14/2016,Usvi,North America,,?,MW165880
BRA/2016/FC_DQ122D1,4/15/2016,Brazil,South America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785456
PR/DB_841/2016,11/3/2016,Puerto Rico,North America,,?,MW122430
PR/DB_700/2016,9/7/2016,Puerto Rico,North America,,?,MW122422
PR/DB_617/2016,7/9/2016,Puerto Rico,North America,,?,MW122419
PR/DB_880/2016,6/28/2016,Puerto Rico,North America,,?,MW122432
PR/DB_569/2016,11/3/2016,Puerto Rico,North America,,?,MW122412
PR/DB_347/2016,9/27/2016,Puerto Rico,North America,,?,MW122397
CTS_50_16p,2016-06-01 (2016-06-01 - 2016-06-30),Puerto Rico,North America,,Assis et al,MH675622
PR/DB_1015/2016,10/4/2016,Puerto Rico,North America,,?,MW122448
PR/DB_272/2016,8/6/2016,Puerto Rico,North America,,?,MW122391
CTS_47_16p,2016-05-31 (2016-05-06 - 2016-05-31),Puerto Rico,North America,,Assis et al,MH675621
PR/DB_484/2016,7/1/2016,Puerto Rico,North America,,?,MW122402
PR/DB_996/2016,12/8/2016,Puerto Rico,North America,,?,MW122445
PR/DB_1019/2016,12/8/2016,Puerto Rico,North America,,?,MW122449
PR/DB_219/2016,6/23/2016,Puerto Rico,North America,,?,MW122382
PR/DB_451/2016,11/10/2016,Puerto Rico,North America,,?,MW122400
PR/DB_1025/2017,1/3/2017,Puerto Rico,North America,,?,MW122451
PR/DB_255/2016,7/17/2016,Puerto Rico,North America,,?,MW122386
PR/DB_781/2016,7/3/2016,Puerto Rico,North America,,?,MW122426
PR/DB_269/2016,9/7/2016,Puerto Rico,North America,,?,MW122389
PR/DB_285/2016,7/14/2016,Puerto Rico,North America,,?,MW122394
PRVABC59,2015-12-05 (2015-12-01 - 2015-12-31),Puerto Rico,North America,,Lanciotti et al B (https://www.ncbi.nlm.nih.gov/pubmed/27088323),KU501215
PuertoRico/2016/FL016U,7/3/2016,Puerto Rico,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY075934
PuertoRico/2016/FL008U,6/21/2016,Puerto Rico,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY075933
PR/DB_245/2016,6/23/2016,Puerto Rico,North America,,?,MW122385
PR/DB_802/2016,10/2/2016,Puerto Rico,North America,,?,MW122429
CTS_61_16p,2016-06-30 (2016-06-01 - 2016-06-30),Puerto Rico,North America,,Assis et al,MH675624
PR/DB_503/2016,8/15/2016,Puerto Rico,North America,,?,MW122404
PR/DB_947/2016,10/20/2016,Puerto Rico,North America,,?,MW122437
PR/DB_920/2016,10/9/2016,Puerto Rico,North America,,?,MW122436
PR/DB_987/2016,8/31/2016,Puerto Rico,North America,,?,MW122443
CTS_193_16p,2016-08-31 (2016-08-04 - 2016-08-31),Puerto Rico,North America,,Assis et al,MH675627
CTS_56_16p,2016-06-30 (2016-06-05 - 2016-06-30),Puerto Rico,North America,,Assis et al,MH675623
PRI/2016/MA_WGS16_016,6/26/2016,Puerto Rico,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785462
PR/DB_961/2016,11/21/2016,Puerto Rico,North America,,?,MW122438
PR/DB_093/2016,8/15/2016,Puerto Rico,North America,,?,MW122379
PR/DB_657/2016,8/17/2016,Puerto Rico,North America,,?,MW122421
PR/DB_372/2016,11/4/2016,Puerto Rico,North America,,?,MW122399
PR/DB_554/2016,10/25/2016,Puerto Rico,North America,,?,MW122410
PR/DB_070/2016,7/1/2016,Puerto Rico,North America,,?,MW122378
PRI/2016/MA_WGS16_004,4/13/2016,Puerto Rico,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785464
PR/DB_590/2016,8/15/2016,Puerto Rico,North America,,?,MW122414
PR/DB_650/2016,8/9/2016,Puerto Rico,North America,,?,MW122420
PR/DB_884/2016,7/27/2016,Puerto Rico,North America,,?,MW122433
PR/DB_894/2016,8/17/2016,Puerto Rico,North America,,?,MW122435
PR/DB_018/2016,7/30/2016,Puerto Rico,North America,,?,MW122377
PR/DB_275/2016,11/7/2016,Puerto Rico,North America,,?,MW122392
PR/DB_540/2016,9/27/2016,Puerto Rico,North America,,?,MW122408
PR/DB_001/2016,7/20/2016,Puerto Rico,North America,,?,MW122373
PR/DB_556/2016,10/16/2016,Puerto Rico,North America,,?,MW122411
PR/DB_774/2016,12/2/2016,Puerto Rico,North America,,?,MW122424
CTS_183_16p,2016-08-31 (2016-08-06 - 2016-08-31),Puerto Rico,North America,,Assis et al,MH675626
PR/DB_534/2016,8/31/2016,Puerto Rico,North America,,?,MW122407
PR/DB_489/2016,6/30/2016,Puerto Rico,North America,,?,MW122403
PR/DB_511/2016,8/19/2016,Puerto Rico,North America,,?,MW122405
PR/DB_986/2016,8/26/2016,Puerto Rico,North America,,?,MW122442
PR/DB_523/2016,8/18/2016,Puerto Rico,North America,,?,MW122406
USVI/35/2016,9/8/2016,Usvi,North America,,?,MW165883
USVI/6/2016,10/19/2016,Usvi,North America,,Black et al A,VI6
USVI/44/2016,10/17/2016,Usvi,North America,,Black et al A,VI44
USVI/25/2016,9/27/2016,Usvi,North America,,?,MW165882
USVI/45/2016,8/3/2016,Usvi,North America,,Black et al A,VI45
USVI/43/2016,7/19/2016,Usvi,North America,,?,MW165884
USVI/38/2016,10/25/2016,Usvi,North America,,Black et al A,VI38
USVI/13/2016,8/13/2016,Usvi,North America,,Black et al A,VI13
USVI/34/2016,8/1/2016,Usvi,North America,,Black et al A,VI34
USVI/46/2016,7/15/2016,Usvi,North America,,Black et al A,VI46
USVI/3/2016,9/26/2016,Usvi,North America,,Black et al A,VI3
USVI/5/2016,10/17/2016,Usvi,North America,,?,MW165881
PR/DB_232/2016,6/25/2016,Puerto Rico,North America,,?,MW122383
PR/DB_236/2016,9/19/2016,Puerto Rico,North America,,?,MW122384
CTS_178_16p,2016-08-31 (2016-08-05 - 2016-08-31),Puerto Rico,North America,,Assis et al,MH675625
PR/DB_999/2016,6/20/2016,Puerto Rico,North America,,?,MW122446
PR/DB_1000/2016,6/27/2016,Puerto Rico,North America,,?,MW122447
PR/DB_003/2016,7/13/2016,Puerto Rico,North America,,?,MW122375
PR/DB_852/2016,6/27/2016,Puerto Rico,North America,,?,MW122454
CTS_30_16p,2016-05-31 (2016-05-05 - 2016-05-31),Puerto Rico,North America,,Assis et al,MH675619
PR/DB_282/2016,6/24/2016,Puerto Rico,North America,,?,MW122393
PRI/2016/MA_WGS16_005,4/12/2016,Puerto Rico,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785481
PR/DB_256/2016,7/14/2016,Puerto Rico,North America,,?,MW122387
CTS_223_16p,2016-08-31 (2016-08-07 - 2016-08-31),Puerto Rico,North America,,Assis et al,MH675628
PR/DB_778/2016,6/29/2016,Puerto Rico,North America,,?,MW122425
PR/DB_966/2016,11/29/2016,Puerto Rico,North America,,?,MW122439
PR/DB_002/2016,4/27/2016,Puerto Rico,North America,,?,MW122374
PR/DB_350/2016,9/19/2016,Puerto Rico,North America,,?,MW122398
PR/DB_615/2016,5/26/2016,Puerto Rico,North America,,?,MW122418
PR/DB_104/2016,8/26/2016,Puerto Rico,North America,,?,MW122380
PR/DB_992/2016,9/10/2016,Puerto Rico,North America,,?,MW122444
PR/DB_984/2016,8/23/2016,Puerto Rico,North America,,?,MW122441
PR/DB_010/2016,6/28/2016,Puerto Rico,North America,,?,MW122376
CTS_36_16p,2016-05-11 (2016-05-01 - 2016-05-31),Puerto Rico,North America,,Assis et al,MH675620
PR/DB_306/2016,7/23/2016,Puerto Rico,North America,,?,MW122395
PR/DB_983/2016,8/3/2016,Puerto Rico,North America,,?,MW122440
PR/DB_613/2016,6/13/2016,Puerto Rico,North America,,?,MW122417
Hsap_wt/PR/15/ARC1,12/21/2015,Puerto Rico,North America,,Chiu et al A,MN171421
USVI/39/2016,11/9/2016,Usvi,North America,,Black et al A,VI39_12plex
USVI/37/2016,10/6/2016,Usvi,North America,,Black et al A,VI37
USVI/12/2016,11/4/2016,Usvi,North America,,Black et al A,VI12
USVI/1/2016,9/28/2016,Usvi,North America,,Black et al A,VI1_1d
USVI/2/2016,9/28/2016,Usvi,North America,,Black et al A,VI2
Brazil/2016/ZBRC16,1/19/2016,Brazil,South America,,Faria et al A,KY558991
BRA/2016/FC_6418,3/27/2016,Brazil,South America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785410
BRA/2016/FC_5905,3/23/2016,Brazil,South America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY014308
V129516,3/21/2016,Brazil,South America,,?,MT439638
RIO_BM1,2/12/2016,Brazil,South America,,Bonaldo et al B,KY272991
Rio_U1,1/14/2016,Brazil,South America,,Bonaldo et al A (https://www.ncbi.nlm.nih.gov/pubmed/27341420),KU926309
BRA/2016/FC_DQ5D1,3/14/2016,Brazil,South America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785437
Brazil/2016/ZBRY1,1/15/2016,Brazil,South America,,Faria et al A,KY559025
Brazil/2016/ZBRY7,2016-01-12 (2016-01-01 - 2016-01-31),Brazil,South America,,Faria et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538727),KY559032
PR/DB_871/2016,11/3/2016,Puerto Rico,North America,,?,MW122431
Homo_Sapiens/NIC/4456_CZB162/2016,6/28/2016,Nicaragua,North America,,?,OK054388
HND/2016/HU_SZ76,5/3/2016,Honduras,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785471
Homo_Sapiens/NIC/4069_CZH219/2016,8/3/2016,Nicaragua,North America,,?,OK054441
Homo_Sapiens/NIC/1507_CZH212/2016,8/18/2016,Nicaragua,North America,,?,OK054372
Homo_Sapiens/NIC/2558_CZH215/2016,7/26/2016,Nicaragua,North America,,?,OK054374
Homo_Sapiens/NIC/9367_CZB210/2016,8/15/2016,Nicaragua,North America,,?,OK054373
Homo_Sapiens/NIC/5831_CZH163/2016,9/6/2016,Nicaragua,North America,,?,OK054376
Homo_Sapiens/NIC/5812_CZH162/2016,9/15/2016,Nicaragua,North America,,?,OK054375
Homo_Sapiens/NIC/5073_CZB153/2016,6/26/2016,Nicaragua,North America,,?,OK054379
Homo_Sapiens/NIC/8317_CZB189/2016,9/8/2016,Nicaragua,North America,,?,OK054380
Homo_Sapiens/NIC/4445_CZB161/2016,8/3/2016,Nicaragua,North America,,?,OK054377
Homo_Sapiens/NIC/9396_CZB209/2016,8/28/2016,Nicaragua,North America,,?,OK054378
HND/2016/HU_ME136,5/31/2016,Honduras,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785461
2016_HND_19563,4/16/2016,Honduras,North America,,Lamson et al,KX906952
HND/R103451/2015,1/6/2015,Honduras,North America,,Shabman et al C,KX694534
V103451,1/6/2016,Honduras,North America,,Lanciotti et al C,KX262887
NIC/5256_13A1/2016,8/26/2016,Nicaragua,North America,,Theze et al A,MF434518
NIC/8610_13A1/2016,7/7/2016,Nicaragua,North America,,Shabman et al D,KY765324
Homo_Sapiens/NIC/5066_CZB195/2016,7/27/2016,Nicaragua,North America,,?,OK054392
Homo_Sapiens/NIC/8298_CZB165/2016,7/22/2016,Nicaragua,North America,,?,OK054418
MEX/2016/mex28,7/7/2016,Mexico,North America,,Theze et al B,MF801406
GTM/2016/Guatemala_3921,7/21/2016,Guatemala,North America,,Theze et al B,MF801378
Homo_Sapiens/NIC/6697_CZH230/2016,8/29/2016,Nicaragua,North America,,?,OK054481
Homo_Sapiens/NIC/1535_CZH213/2016,8/15/2016,Nicaragua,North America,,?,OK054382
MEX/2016/mex25,5/25/2016,Mexico,North America,,Theze et al B,MF801403
V8375,11/1/2015,Guatemala,North America,,Lanciotti et al B (https://www.ncbi.nlm.nih.gov/pubmed/27088323),KU501217
V103344,12/1/2015,Guatemala,North America,,Lanciotti et al B (https://www.ncbi.nlm.nih.gov/pubmed/27088323),KU501216
Mexico/INPER38b/2016,11/24/2016,Mexico,North America,,Valdespino-Vazquez et al,MG494697
MEX/2016/mex33,7/5/2016,Mexico,North America,,Theze et al B,MF801411
MEX/2016/mex19,5/20/2016,Mexico,North America,,Theze et al B,MF801399
MEX/2016/mex20,5/20/2016,Mexico,North America,,Theze et al B,MF801400
mex48/Mexico/2016,6/30/2016,Mexico,North America,,Chiu et al B,KY606273
MEX/2016/mex47,6/30/2016,Mexico,North America,,Theze et al B,MF801423
MEX/2016/mex29,7/5/2016,Mexico,North America,,Theze et al B,MF801407
MEX/2016/mex43,7/1/2016,Mexico,North America,,Theze et al B,MF801419
MEX/2016/mex34,7/7/2016,Mexico,North America,,Theze et al B,MF801412
MEX/2016/Mexico_3502,7/6/2016,Mexico,North America,,Theze et al B,MF801391
MEX/41_006_F_V0_O/2016,7/5/2016,Mexico,North America,,Tan et al A,MH157209
MEX/41_006_F_V7_O/2016,7/13/2016,Mexico,North America,,Tan et al A,MH157197
MEX/2016/mex37,7/5/2016,Mexico,North America,,Theze et al B,MF801415
MEX/2016/mex46,7/1/2016,Mexico,North America,,Theze et al B,MF801422
MEX_ENCB165,10/15/2015,Mexico,North America,,Sevilla-Reyes et al,KY631493
ENCB165P4,10/15/2015,Mexico,North America,,Sevilla-Reyes et al,KY631494
USA/UT_1/2016,1/1/2016,Mexico,North America,,Swaminathan et al (https://www.ncbi.nlm.nih.gov/pubmed/27681699),KX827268
R116265,6/23/2016,Mexico,North America,,Lanciotti et al A,KX766029
MEX/R116265/2016,6/23/2016,Mexico,North America,,Shabman et al E,MG595216
mex07/Mexico/2016,8/5/2016,Mexico,North America,,Chiu et al B,KY606272
MEX/2016/mex35,7/7/2016,Mexico,North America,,Theze et al B,MF801413
MEX/2016/mex38,2016-07-31 (2016-07-04 - 2016-07-31),Mexico,North America,,Theze et al B,MF801416
MEX_CIENI551,3/3/2016,Mexico,North America,,Boukadida et al,KY120349
Aedessp/MEX/MEX_2_81/2016,1/1/2016,Mexico,North America,,Shabman et al F,KX446950
MEX_I_7,2015-11-30 (2015-11-06 - 2015-11-30),Mexico,North America,,Barrows et al,KX247632
Aedessp/MEX/MEX_I_7/2016,1/1/2016,Mexico,North America,,Shabman et al F,KX446951
MEX/2016/mex01,4/22/2016,Mexico,North America,,Theze et al B,MF801393
MEX/42_016_F_V0_O/2016,8/19/2016,Mexico,North America,,Tan et al A,MH157212
MEX/2016/mex17,5/20/2016,Mexico,North America,,Theze et al B,MF801398
MEX/42_018_F_V3_O/2016,9/23/2016,Mexico,North America,,Tan et al A,MH157206
Mexico_Rus_12TVR_2017,1/30/2017,Mexico,North America,,Karan et al,MF098771
MEX/2016/mex05,5/9/2016,Mexico,North America,,Theze et al B,MF801395
MEX/2016/mex44,7/4/2016,Mexico,North America,,Theze et al B,MF801420
Mexico_Rus_10GNN_2016,11/9/2016,Mexico,North America,,Karan et al,MF098770
MEX/41_022_F_V3_O/2016,8/24/2016,Mexico,North America,,Tan et al A,MH157195
MEX/41_022_F_V0_O/2016,8/22/2016,Mexico,North America,,Tan et al A,MH157208
MEX/41_022_F_V7_O/2016,8/29/2016,Mexico,North America,,Tan et al A,MH157207
MEX/2016/mex36,7/5/2016,Mexico,North America,,Theze et al B,MF801414
MEX/2016/mex40,7/1/2016,Mexico,North America,,Theze et al B,MF801417
MEX/2016/mex23,5/23/2016,Mexico,North America,,Theze et al B,MF801401
MEX/42_001_F_V3_O/2016,6/27/2016,Mexico,North America,,Tan et al A,MH157203
MEX/42_001_F_V0_O/2016,6/24/2016,Mexico,North America,,Tan et al A,MH157214
MEX/41_001_F_V7_O/2016,6/28/2016,Mexico,North America,,Tan et al A,MH157201
MEX/41_001_F_V3_O/2016,6/23/2016,Mexico,North America,,Tan et al A,MH157213
MEX/43_023_F_V3_O/2016,10/25/2016,Mexico,North America,,Tan et al A,MH157204
MEX/43_023_F_V0_O/2016,10/21/2016,Mexico,North America,,Tan et al A,MH157200
MEX/41_017_F_V7_O/2016,8/15/2016,Mexico,North America,,Tan et al A,MH157205
MEX/41_017_F_V0_O/2016,8/8/2016,Mexico,North America,,Tan et al A,MH157199
MEX/41_017_F_V3_O/2016,8/10/2016,Mexico,North America,,Tan et al A,MH157202
Homo_Sapiens/NIC/5962_CHB3156/2016,8/5/2016,Nicaragua,North America,,?,OK054400
Homo_Sapiens/NIC/4187_CZB133/2016,7/27/2016,Nicaragua,North America,,?,OK054453
Homo_Sapiens/NIC/7547_CHB3152/2016,7/31/2016,Nicaragua,North America,,?,OK054413
Homo_Sapiens/NIC/7933_CHB3160/2016,7/14/2016,Nicaragua,North America,,?,OK054436
Homo_Sapiens/NIC/769_CZB179/2016,9/30/2016,Nicaragua,North America,,?,OK054426
FLSR118,8/28/2016,Usa,North America,,Grubaugh et al A (https://www.ncbi.nlm.nih.gov/pubmed/31442400),MK269353
Homo_Sapiens/NIC/5966_CZB159/2016,7/18/2016,Nicaragua,North America,,?,OK054445
Homo_Sapiens/NIC/7193_CHB3146/2016,7/28/2016,Nicaragua,North America,,?,OK054410
Homo_Sapiens/NIC/5506_CZB169/2016,7/26/2016,Nicaragua,North America,,?,OK054430
Homo_Sapiens/NIC/4105_CZH220/2016,8/14/2016,Nicaragua,North America,,?,OK054442
Homo_Sapiens/NIC/7504_CZB150/2016,8/14/2016,Nicaragua,North America,,?,OK054463
Homo_Sapiens/NIC/8305_CZB166/2016,8/15/2016,Nicaragua,North America,,?,OK054464
Homo_Sapiens/NIC/4359_CZB137/2016,8/5/2016,Nicaragua,North America,,?,OK054386
Homo_Sapiens/NIC/5926_CZB158/2016,9/12/2016,Nicaragua,North America,,?,OK054475
MEX/2016/mex42,6/30/2016,Mexico,North America,,Theze et al B,MF801418
MEX/2016/mex24,5/26/2016,Mexico,North America,,Theze et al B,MF801402
MEX/2016/mex14,5/17/2016,Mexico,North America,,Theze et al B,MF801396
MEX/2016/mex26,7/8/2016,Mexico,North America,,Theze et al B,MF801404
Mex03/Mexico/2016,3/5/2016,Mexico,North America,,Faria et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538727),KY606271
MEX/41_023_F_V3_O/2016,8/25/2016,Mexico,North America,,Tan et al A,MH157210
MEX/41_023_F_V7_O/2016,8/29/2016,Mexico,North America,,Tan et al A,MH157196
FB_GWUH_2016,2/2/2016,Guatemala,North America,,Driggers et al,KU870645
mex39/Mexico/2016,7/7/2016,Mexico,North America,,Chiu et al B,KY606274
Homo_Sapiens/NIC/6720_CZB143/2016,2/26/2016,Nicaragua,North America,,?,OK054405
NIC/6406_13A1/2016,5/29/2016,Nicaragua,North America,,Shabman et al D,KY765320
Nica2_16,1/13/2016,Nicaragua,North America,,Tabata et al (https://www.ncbi.nlm.nih.gov/pubmed/27443522),KX421194
Nica1_16,1/19/2016,Nicaragua,North America,,Tabata et al (https://www.ncbi.nlm.nih.gov/pubmed/27443522),KX421195
Homo_Sapiens/NIC/8385_CHB3147/2016,1/13/2016,Nicaragua,North America,,?,OK054438
Homo_Sapiens/NIC/5144_CZB130/2016,7/23/2016,Nicaragua,North America,,?,OK054455
Homo_Sapiens/NIC/5242_CZB132/2016,2/1/2016,Nicaragua,North America,,?,OK054461
Homo_Sapiens/NIC/4797_CHB3167/2016,8/14/2016,Nicaragua,North America,,?,OK054460
Homo_Sapiens/NIC/4875_CZB191/2016,7/15/2016,Nicaragua,North America,,?,OK054390
Homo_Sapiens/NIC/9181_CZB202/2016,8/9/2016,Nicaragua,North America,,?,OK054422
Homo_Sapiens/NIC/8689_CZB199/2016,7/30/2016,Nicaragua,North America,,?,OK054421
Homo_Sapiens/NIC/8583_CZB198/2016,8/19/2016,Nicaragua,North America,,?,OK054420
HND/2016/Honduras_1122,3/29/2016,Honduras,North America,,Theze et al B,MF801387
Homo_Sapiens/NIC/4723_CHB3166/2016,7/12/2016,Nicaragua,North America,,?,OK054459
HND/2016/Honduras_1162,5/10/2016,Honduras,North America,,Theze et al B,MF801389
Homo_Sapiens/NIC/6775_CZB144/2016,7/28/2016,Nicaragua,North America,,?,OK054406
Homo_Sapiens/NIC/5149_CZB131/2016,8/15/2016,Nicaragua,North America,,?,OK054394
Homo_Sapiens/NIC/8280_CZB123/2016,9/18/2016,Nicaragua,North America,,?,OK054456
Homo_Sapiens/NIC/7180_CZB122/2016,8/9/2016,Nicaragua,North America,,?,OK054409
Homo_Sapiens/NIC/6215_CZB141/2016,7/12/2016,Nicaragua,North America,,?,OK054402
NIC/1304_13A1/2016,8/5/2016,Nicaragua,North America,,Theze et al A,MF434516
Homo_Sapiens/NIC/7253_CZH177/2016,8/29/2016,Nicaragua,North America,,?,OK054411
NIC/7253_13A1/2016,8/29/2016,Nicaragua,North America,,Theze et al A,MF434522
Homo_Sapiens/NIC/1369_CZH211/2016,7/28/2016,Nicaragua,North America,,?,OK054427
HND/2016/HU_ME171,6/10/2016,Honduras,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785448
HND/2016/HU_ME172,6/10/2016,Honduras,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785458
HND/2016/HU_ME131,5/28/2016,Honduras,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785414
FHT1166/HON/2016,8/26/2016,Honduras,North America,,Leguia et al B,KY693676
NIC/5338_13A1/2016,7/22/2016,Nicaragua,North America,,Theze et al A,MF434519
Homo_Sapiens/NIC/8437_CZB126/2016,7/24/2016,Nicaragua,North America,,?,OK054457
Homo_Sapiens/NIC/8397_CZB193/2016,8/24/2016,Nicaragua,North America,,?,OK054369
NIC/1659_13A1/2016,8/19/2016,Nicaragua,North America,,Theze et al A,MF434517
Homo_Sapiens/NIC/8525_CZB196/2016,8/7/2016,Nicaragua,North America,,?,OK054449
Homo_Sapiens/NIC/3511_CZH216/2016,9/27/2016,Nicaragua,North America,,?,OK054383
Homo_Sapiens/NIC/5834_CZB128/2016,8/26/2016,Nicaragua,North America,,?,OK054432
Homo_Sapiens/NIC/8016_CZB139/2016,7/27/2016,Nicaragua,North America,,?,OK054468
Homo_Sapiens/NIC/4963_CZB125/2016,7/25/2016,Nicaragua,North America,,?,OK054391
Homo_Sapiens/NIC/7683_CZB177/2016,8/2/2016,Nicaragua,North America,,?,OK054415
HND/00002/2016,5/26/2016,Honduras,North America,,Pickett et al,MK713750
HND/2016/Honduras_4102,6/3/2016,Honduras,North America,,Theze et al B,MF801383
NIC/2016/Nicaragua_3912,7/25/2016,Nicaragua,North America,,Theze et al B,MF801426
USA/2016/FLWB044,9/28/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY325479
USA/2016/FLSR043,9/28/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY325465
MEX/2016/mex30,7/5/2016,Mexico,North America,,Theze et al B,MF801408
HND/2016/Honduras_1031,2/3/2016,Honduras,North America,,Theze et al B,MF801384
HND/2016/Honduras_1083,2/24/2016,Honduras,North America,,Theze et al B,MF801386
GTM/2016/Guatemala_2411,4/11/2016,Guatemala,North America,,Theze et al B,MF801380
Cuba/2017/FL057U,7/17/2017,Cuba,North America,,Grubaugh et al A (https://www.ncbi.nlm.nih.gov/pubmed/31442400),MH063265
Cuba/2017/Hu0046Sa,4/19/2017,Cuba,North America,,Grubaugh et al A (https://www.ncbi.nlm.nih.gov/pubmed/31442400),MF159531
SG_EHI_/33164Y17,2017-08-16 (2017-08-01 - 2017-08-31),Cuba,North America,,Tan et al B (https://www.ncbi.nlm.nih.gov/pubmed/29346272),MF988734
Cuba/2017/FL051Se,7/17/2017,Cuba,North America,,Grubaugh et al A (https://www.ncbi.nlm.nih.gov/pubmed/31442400),MH063262
Cuba/2017_10_09/FL82U,10/9/2017,Cuba,North America,,Grubaugh et al A (https://www.ncbi.nlm.nih.gov/pubmed/31442400),MK560178
Cuba/2017/FL052U,8/5/2017,Cuba,North America,,Grubaugh et al A (https://www.ncbi.nlm.nih.gov/pubmed/31442400),MH063263
Cuba/2017/FL046Se,7/26/2017,Cuba,North America,,Grubaugh et al C,MH063259
UNK/2016/MA_WGS16_029,8/5/2016,El Salvador,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785454
Nicaragua/2016_UCB7420,1/19/2016,Nicaragua,North America,,?,MN577550
MEX/2016/mex16,5/20/2016,Mexico,North America,,Theze et al B,MF801397
