strain,date,country,region,url,author,accession
COL/FH02/2016,2/29/2016,Colombia,South America,,Black et al B,MK049245
Colombia/2016/ZC199Se,1/10/2016,Colombia,South America,,Quick et al (https://www.ncbi.nlm.nih.gov/pubmed/28538739),KY317938
Colombia/2016/ZC207Se,1/9/2016,Colombia,South America,,Quick et al (https://www.ncbi.nlm.nih.gov/pubmed/28538739),KY317940
Colombia/2016/ZC204Se,1/6/2016,Colombia,South America,,Quick et al (https://www.ncbi.nlm.nih.gov/pubmed/28538739),KY317939
Colombia/2016/ZC188Se,1/16/2016,Colombia,South America,,Quick et al (https://www.ncbi.nlm.nih.gov/pubmed/28538739),KY317936
DOM/2016/BB_0127,4/11/2016,Dominican Republic,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY014303
COL/FH16/2016,6/22/2016,Colombia,South America,,Black et al B,MK049250
Aedes_aegypti/COL/FH04/2016,1/29/2016,Colombia,South America,,Black et al B,MK049247
Brazil_2015_MG,6/14/2016,Brazil,South America,,Green et al,KX811222
BR/Sinop/H366/2015,12/11/2015,Brazil,South America,,Bronzoni et al,MH513599
Brazil/2016/ZBRX16,4/25/2016,Brazil,South America,,Faria et al A,KY559016
Angola/2017/Z3,5/25/2017,Angola,Africa,,Hill et al (https://www.ncbi.nlm.nih.gov/pubmed/31559967),MK829152
Angola/2017/PoHuZV634959,10/26/2017,Angola,Africa,,Hill et al (https://www.ncbi.nlm.nih.gov/pubmed/31559967),MK829154
COL/FH07/2016,5/16/2016,Colombia,South America,,Black et al B,MK049252
COL/FH09/2016,11/2/2016,Colombia,South America,,Black et al B,MK049249
COL/FH05/2016,7/27/2016,Colombia,South America,,Black et al B,MK049248
EC/Esmeraldas/089/2016,2016-04-02 (2016-04-01 - 2016-04-30),Ecuador,South America,,Marquez et al (https://www.ncbi.nlm.nih.gov/pubmed/28232448),KX879604
EC/Esmeraldas/062/2016,2016-04-30 (2016-04-06 - 2016-04-30),Ecuador,South America,,Marquez et al (https://www.ncbi.nlm.nih.gov/pubmed/28232448),KX879603
EC/Esmeraldas/121/2016,5/1/2016,Ecuador,South America,,Wise et al,MF794971
Rio_S1,1/29/2016,Brazil,South America,,Bonaldo et al A (https://www.ncbi.nlm.nih.gov/pubmed/27341420),KU926310
V15098,3/1/2015,Brazil,South America,,Strottmann et al,MF073359
BRA/2016/ZKV17uri_2016_04_19,4/19/2016,Brazil,South America,,Oliveira et al (https://www.ncbi.nlm.nih.gov/pubmed/30405055),MH882542
BRA/2016/ZKV17Bsem_2016_05_03,5/3/2016,Brazil,South America,,Oliveira et al (https://www.ncbi.nlm.nih.gov/pubmed/30405055),MH882529
BRA/2016/ZKV17Asem_2016_04_26,4/26/2016,Brazil,South America,,Oliveira et al (https://www.ncbi.nlm.nih.gov/pubmed/30405055),MH882527
BRA/2016/ZKV17Auri_2016_04_26,4/26/2016,Brazil,South America,,Oliveira et al (https://www.ncbi.nlm.nih.gov/pubmed/30405055),MH882528
BRA/2016/ZKV17sem_2016_04_19,4/19/2016,Brazil,South America,,Oliveira et al (https://www.ncbi.nlm.nih.gov/pubmed/30405055),MH882541
BRA/2016/ZKV17Hsem_2016_06_16,6/16/2016,Brazil,South America,,Oliveira et al (https://www.ncbi.nlm.nih.gov/pubmed/30405055),MH882535
P17_C,5/10/2016,Brazil,South America,,?,MW123922
P17_K,5/7/2016,Brazil,South America,,?,MW123924
P17_H,6/16/2016,Brazil,South America,,?,MW123923
BRA/2016/ZKV17Esem_2016_05_24,5/24/2016,Brazil,South America,,Oliveira et al (https://www.ncbi.nlm.nih.gov/pubmed/30405055),MH882532
BRA/2016/ZKV17Dsem_2016_05_17,5/17/2016,Brazil,South America,,Oliveira et al (https://www.ncbi.nlm.nih.gov/pubmed/30405055),MH882531
BRA/2016/ZKV17Fsem_2016_05_31,6/3/2016,Brazil,South America,,Oliveira et al (https://www.ncbi.nlm.nih.gov/pubmed/30405055),MH882533
BRA/2016/ZKV17Csem_2016_05_10,5/10/2016,Brazil,South America,,Oliveira et al (https://www.ncbi.nlm.nih.gov/pubmed/30405055),MH882530
BRA/2016/ZKV17Ksem_2016_07_05,7/5/2016,Brazil,South America,,Oliveira et al (https://www.ncbi.nlm.nih.gov/pubmed/30405055),MH882537
BRA/2016/ZKV17Gsem_2016_06_08,6/8/2016,Brazil,South America,,Oliveira et al (https://www.ncbi.nlm.nih.gov/pubmed/30405055),MH882534
BRA/2016/ZKV17Jsem_2016_06_28,6/28/2016,Brazil,South America,,Oliveira et al (https://www.ncbi.nlm.nih.gov/pubmed/30405055),MH882536
