strain,date,country,region,url,author,accession
Padova.ITA/19.17/1/B3,2017-05-01 (2017-05-01 - 2017-05-27),Italy,Europe,,Pacenti et al (https://www.ncbi.nlm.nih.gov/pubmed/31795157),MK513617
Padova.ITA/14.17/7/B3,2017-04-01 (2017-04-01 - 2017-04-26),Italy,Europe,,Pacenti et al (https://www.ncbi.nlm.nih.gov/pubmed/31795157),MK513607
Padova.ITA/17.17/3/B3,2017-04-01 (2017-04-01 - 2017-04-26),Italy,Europe,,Pacenti et al (https://www.ncbi.nlm.nih.gov/pubmed/31795157),MK513616
Padova.ITA/15.17/1/B3,2017-04-30 (2017-04-07 - 2017-04-30),Italy,Europe,,Pacenti et al (https://www.ncbi.nlm.nih.gov/pubmed/31795157),MK513608
Padova.ITA/15.17/2/B3,2017-04-13 (2017-04-01 - 2017-04-30),Italy,Europe,,Pacenti et al (https://www.ncbi.nlm.nih.gov/pubmed/31795157),MK513609
Padova.ITA/14.17/5/B3,2017-04-07 (2017-04-01 - 2017-04-30),Italy,Europe,,Pacenti et al (https://www.ncbi.nlm.nih.gov/pubmed/31795157),MK513606
Padova.ITA/13.17/1/B3,2017-03-07 (2017-03-01 - 2017-03-31),Italy,Europe,,Pacenti et al (https://www.ncbi.nlm.nih.gov/pubmed/31795157),MK513600
Padova.ITA/12.17/1/B3,2017-03-31 (2017-03-09 - 2017-03-31),Italy,Europe,,Pacenti et al (https://www.ncbi.nlm.nih.gov/pubmed/31795157),MK513599
Padova.ITA/14.17/2/B3,2017-04-01 (2017-04-01 - 2017-04-26),Italy,Europe,,Pacenti et al (https://www.ncbi.nlm.nih.gov/pubmed/31795157),MK513603
Padova.ITA/14.17/1/B3,2017-04-30 (2017-04-04 - 2017-04-30),Italy,Europe,,Pacenti et al (https://www.ncbi.nlm.nih.gov/pubmed/31795157),MK513602
Padova.ITA/16.17/6/B3,2017-04-30 (2017-04-06 - 2017-04-30),Italy,Europe,,Pacenti et al (https://www.ncbi.nlm.nih.gov/pubmed/31795157),MK513615
Dartford.GBR/2.14/B3,2014-01-31 (2014-01-05 - 2014-01-31),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732218
London.GBR/41.13/B3,2013-10-01 (2013-10-01 - 2013-10-27),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732217
NewcastleuponTyne.GBR/35.13/B3,2013-08-31 (2013-08-04 - 2013-08-31),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732216
London.GBR/3.14/2/B3,2014-01-31 (2014-01-04 - 2014-01-31),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732220
California.USA/08.14/3/B3,2/19/2014,Usa,North America,,Espinosa et al A,KY969478
London.GBR/3.14/B3,2014-01-01 (2014-01-01 - 2014-01-28),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732219
NewcastleuponTyne.GBR/9.14/B3,2014-02-28 (2014-02-04 - 2014-02-28),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732224
London.GBR/3.14/3/B3,2014-01-31 (2014-01-04 - 2014-01-31),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732221
Luton.GBR/4.14/B3,2014-01-01 (2014-01-01 - 2014-01-28),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732222
Alabama.USA/13.14/B3,3/26/2014,Usa,North America,,Scott et al,KY969481
London.GBR/4.14/2/B3,2014-01-31 (2014-01-05 - 2014-01-31),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732223
California.USA/05.14/B3,1/29/2014,Usa,North America,,Espinosa et al A,KY969477
Mvs/Gyeongnam.KOR/29.13/2/B3,12/10/2013,,,,Kim et al,MN630023
California.USA/9.19/2/B3,2019-04-11 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789790
California.USA/9.19/B3,2019-04-11 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789789
California.USA/7.19/B3,2019-04-11 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789788
California.USA/12.19/B3,2019-05-31 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789812
California.USA/14.19/2/B3,2019-05-31 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789797
California.USA/9.19/3/B3,2019-05-07 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789811
California.USA/1.19/B3,2019-12-01 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789810
California.USA/13.19/4/B3,2019-12-31 (2019-08-08 - 2019-12-31),Usa,North America,,Probert et al,MT789794
California.USA/32.19/B3,2019-12-03 (2019-08-12 - 2019-12-31),Usa,North America,,Probert et al,MT789819
California.USA/34.19/B3,2019-12-03 (2019-08-12 - 2019-12-31),Usa,North America,,Probert et al,MT789820
California.USA/20.19/2/B3,2019-10-10 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789817
California.USA/18.19/4/B3,2019-04-30 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789816
California.USA/17.19/2/B3,2019-02-20 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789815
California.USA/13.19/B3,2019-06-14 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789791
California.USA/12.19/3/B3,2019-04-02 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789813
California.USA/16.19/7/B3,2019-05-11 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789798
California.USA/16.19/9/B3,2019-04-02 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789800
California.USA/16.19/8/B3,2019-04-02 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789799
California.USA/13.19/5/B3,2019-04-02 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789795
California.USA/22.19/B3,2019-04-02 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789805
California.USA/12.19/2/B3,2019-04-02 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789792
California.USA/22.19/3/B3,2019-04-02 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789818
California.USA/16.19/3/B3,2019-05-11 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789801
California.USA/13.19/3/B3,2019-06-14 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789793
California.USA/20.19/B3,2019-04-02 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789804
California.USA/14.19/B3,2019-05-11 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789796
California.USA/15.19/B3,2019-05-05 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789814
California.USA/17.19/B3,2019-05-05 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789803
California.USA/16.19/4/B3,2019-05-05 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789802
Alberta.CAN/22.14_D6__SSPE_,5/10/2014,Canada,North America,,Pabbaraju et al,MF775733
Washington.USA/18.08/1,2008-01-12 (2008-01-01 - 2008-12-31),Usa,North America,,Kirkness et al,JN635405
Arizona.USA/11.08/2,3/11/2008,Usa,North America,,Kirkness et al,JN635406
Gyeongnam.KOR/27.11/1/D9,11/15/2012,,,,Kim et al,MN630022
California.USA/19.10/D9,5/7/2010,Usa,North America,,Espinosa et al A,KY969476
T11,1989-12-31 (1989-03-23 - 1989-12-31),Japan,Japan Korea,,Okada et al (https://www.ncbi.nlm.nih.gov/pubmed/19553316),AB481088
California.USA/8.04,2/19/2004,Usa,North America,,Kirkness et al,JN635409
Tokyo.JPN/37.99_Y___MV99Y_,1999-07-09 (1999-01-01 - 1999-12-31),Japan,Japan Korea,,Dong et al (https://www.ncbi.nlm.nih.gov/pubmed/19826940),GQ376026
Tokyo.JPN/37.99_Y_C7__MV99YC7_,1999-12-28 (1999-01-01 - 1999-12-31),Japan,Japan Korea,,Dong et al (https://www.ncbi.nlm.nih.gov/pubmed/19826940),GQ376027
Florida.USA/19.09,5/7/2009,Usa,North America,,Kirkness et al,JN635403
Treviso.ITA/03.10/1/D4,2010-01-31 (2010-01-04 - 2010-01-31),Italy,Europe,,Franchin et al,KC164757
New_York.USA/26.09/3,6/25/2009,Usa,North America,,Kirkness et al,JN635402
Paris.FRA/18.11/D4,5/3/2011,France,Europe,,Mura et al (https://www.ncbi.nlm.nih.gov/pubmed/28768856),MF449469
Amsterdam.NLD/19.11/D4,2011-06-22 (2011-01-01 - 2011-12-31),Netherlands,Europe,,Phan et al,MG912593
London.GBR/19.11/5/D4,2011-05-01 (2011-05-01 - 2011-05-28),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732225
London.GBR/20.11/2/D4,2011-05-31 (2011-05-04 - 2011-05-31),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732226
California.USA/47.13/D4,11/19/2013,Usa,North America,,Espinosa et al A,KY969479
Brighton.GBR/49.11/D4,2011-12-01 (2011-12-01 - 2011-12-28),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732227
Brighton.GBR/12.12/7/D4,2011-03-31 (2011-03-06 - 2011-03-31),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732228
London.GBR/20.12/D4,2012-05-01 (2012-05-01 - 2012-05-31),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732229
California.USA/16.12/D4,4/15/2012,Usa,North America,,Espinosa et al B,KY656518
California.USA/16.03,4/16/2003,Usa,North America,,Kirkness et al,JN635410
Menglian.CHN/47.09_D11_,11/18/2009,China,China,,Song et al,MN017369
Vicenza.ITA/12.10/2/D8,3/26/2010,Italy,Europe,,Franchin et al,KC117298
Texas.USA/4.07,2007-01-01 (2007-01-01 - 2007-11-08),Usa,North America,,Kirkness et al,JN635407
Llandudno.GBR/7.12/2/D8,2012-02-01 (2012-02-01 - 2012-02-26),United Kingdom,Europe,,Penedos et al (https://www.ncbi.nlm.nih.gov/pubmed/26569100),KT732230
BritishColumbia.CAN/13.10/1/D8,3/31/2010,Canada,North America,,Gardy et al (https://www.ncbi.nlm.nih.gov/pubmed/26153409),KJ018971
Anand.IND/50.15/D8,12/18/2015,India,South Asia,,Vaidya et al,MN125018
Bijapur.IND/50.15/2/D8,12/18/2015,India,South Asia,,Vaidya et al,MN125019
Gr.Mumbai.IND/10.15/D8,3/10/2015,India,South Asia,,Vaidya et al,MN125023
Udupi.IND/7.15/7,2/9/2015,India,South Asia,,Vaidya et al,MN125028
Bhavnagar.IND/03.15/D8,1/15/2015,India,South Asia,,Vaidya et al,MN125021
Haridwar.IND/06.14/5/D8,2/7/2014,India,South Asia,,Vaidya et al,MN125027
Haridwar.IND/06.14/2/D8,2/7/2014,India,South Asia,,Vaidya et al,MN125030
Kutch.IND/06.15/D8,2/7/2015,India,South Asia,,Vaidya et al,MN125024
