strain,date,country,region,url,author,accession
California.USA/13.19/2/D8,2019-03-31 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789821
California.USA/24.19/D8,2019-12-31 (2019-08-09 - 2019-12-31),Usa,North America,,Probert et al,MT789834
California.USA/19.19/D8,2019-12-31 (2019-09-01 - 2019-12-31),Usa,North America,,Probert et al,MT789831
Zhoushan.CHN/09.19/D8,2019-05-31 (2019-05-03 - 2019-05-31),China,China,,Wang et al,MT738550
California.USA/18.19/D8,2019-06-14 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789827
California.USA/18.19/6/D8,2019-04-30 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789832
California.USA/16.19/D8,2019-04-30 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789824
California.USA/18.19/2/D8,2019-12-31 (2019-08-11 - 2019-12-31),Usa,North America,,Probert et al,MT789828
California.USA/18.19/5/D8,2019-05-18 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789830
California.USA/18.19/3/D8,2019-04-19 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789829
California.USA/16.19/5/D8,2019-04-19 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789847
California.USA/16.19/2/D8,2019-04-19 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789825
California.USA/16.19/10/D8,2019-04-19 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789823
California.USA/16.19/6/D8,2019-05-18 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789826
California.USA/30.19/D8,2019-05-18 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789842
California.USA/23.19/D8,2019-06-10 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789844
California.USA/22.19/4/D8,2019-04-02 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789849
California.USA/27.19/D8,2019-04-02 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789848
California.USA/22.19/2/D8,2019-04-02 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789833
California.USA/28.19/2/D8,2019-06-04 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789840
California.USA/26.19/2/D8,2019-04-30 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789838
California.USA/28.19/D8,2019-04-30 (2019-01-01 - 2019-12-31),Usa,North America,,Probert et al,MT789839
